,player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
760,Jay Scrubb,scrubja01,2022,RS,LAC,276,121,-4.45522014786123,-1.288470190906802,-5.743690338768032,-4.088442139279192,6.662582358077294,2.574140218798102,-4.613572692876707,0.286783204973044,-4.326789487903663,-0.0988460613595651,-0.0988460613595651,0.0,-4.06220406794055,-1.34773551429853,-5.40993958223908,1.545344705684458
761,Wayne Selden,seldewa01,2022,RS,NYK,40,19,-5.285945485586875,-8.365540571422665,-13.65148605700954,-15.09359107532513,-4.453801721944341,-19.54739279726947,-7.672988812911612,-8.090993208802699,-15.76398202171431,-0.1248957477094007,-0.1248957477094007,0.0,-4.965656241726371,-6.196597692874162,-11.16225393460053,-0.9981593810410838
762,Alperen Sengun,sengual01,2022,RS,HOU,3155,1489,-1.000963136800908,-0.9235031856533498,-1.924466322454258,-1.193426194843473,-2.718397106939204,-3.911823301782677,-1.041047916349825,-1.267561226168891,-2.308609142518715,0.3380489998426505,0.3380489998426505,0.0,-1.65848559705254,-1.325914806469725,-2.984400403522265,0.814098428245182
763,Collin Sexton,sextoco01,2022,RS,CLE,658,316,-1.918641401051306,-0.1122921035294739,-2.03093350458078,-6.131722823141265,0.189265302057853,-5.942457521083412,-2.907188611888567,-0.0930821463415502,-3.000270758230117,-0.0405885948578658,-0.0405885948578658,0.0,-2.52213797727144,0.1047501836745902,-2.417387793596849,0.5926950658349613
764,Landry Shamet,shamela01,2022,PO,PHO,394,192,-2.819206359048857,-3.440204352966239,-6.259410712015097,-5.621270376100838,1.809639562488607,-3.81163081361223,-3.600461857396727,-2.544947007730574,-6.145408865127301,-0.3460122757849839,0.0,-0.3460122757849839,-4.478522815601025,-3.356213574628244,-7.834736390229269,0.8427571117112751
765,Landry Shamet,shamela01,2022,RS,PHO,3050,1437,0.3805411181875319,-0.3295104336004447,0.0510306845870872,-4.325039442250247,2.291396705476663,-2.033642736773584,-0.6102027832239044,0.1589433125866326,-0.4512594706372718,1.685865659381136,1.685865659381136,0.0,-0.649028489941481,-0.4403324165092475,-1.089360906450728,0.0312723341106986
766,Day'Ron Sharpe,sharpda01,2022,PO,BRK,1,0,-1.418088135325608,4.742718075566709,3.324629940241101,55.92678447521524,68.67297262721947,124.5997571024347,10.32400609378811,18.49453809386971,28.81854418765783,0.0,0.0,0.0,6.280467011951101,7.270845732497793,13.55131274444889,1.49782673123519
767,Day'Ron Sharpe,sharpda01,2022,RS,BRK,812,391,0.2385075494789413,0.6947846605677115,0.9332922100466527,3.808499675014881,1.564698981421794,5.373198656436675,0.984603319180978,0.9457686908961468,1.930372010077125,0.940917677691306,0.940917677691306,0.0,0.9816514154977968,0.7347673781113168,1.716418793609114,0.7753090678495388
768,Pascal Siakam,siakapa01,2022,PO,TOR,495,260,2.170890825183646,-1.098141584179112,1.072749241004534,3.929864696199819,-10.66477792229002,-6.7349132260902,2.639494449878242,-3.085930433259607,-0.4464359833813649,0.3070155223237919,0.0,0.3070155223237919,0.907832953326262,-1.858230021227929,-0.9503970679016674,-2.511709881230086
769,Pascal Siakam,siakapa01,2022,RS,TOR,5173,2578,1.28178034367064,0.1223549278479951,1.404135271518635,3.607272798511128,-0.0300275769586141,3.577245221552514,1.844092764146337,0.0804795238709741,1.924572288017311,6.100235421334038,6.100235421334038,0.0,2.271786935911448,1.130033499568169,3.401820435479617,-0.7841060594046784
